Volume Link,Volume Text
"May 7, 2021, 9:37 a.m. Humanist 35.1","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 7, 2021, 9:37 a.m. Humanist 35.1 - events: diagrams; research writing



				
              Humanist Discussion Group, Vol. 35, No. 1.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org


    [1]    From: Mikkel Willum Johansen <mwj@ind.ku.dk>
           Subject: Diagrams 2021: 2nd Call for Graduate Symposium (119)

    [2]    From: Ken Friedman <ken.friedman.sheji@icloud.com>
           Subject: Research Writing Workshop 2021 (65)


--[1]------------------------------------------------------------------------
        Date: 2021-05-06 14:48:32+00:00
        From: Mikkel Willum Johansen <mwj@ind.ku.dk>
        Subject: Diagrams 2021: 2nd Call for Graduate Symposium

Dear all

The Diagrams 2021 conference hosts a free graduate symposium. Deadlines
for submission is June 21, so there’s still time!
Please find more information in the call for papers attached below or on
the conference webpage
www.diagrams-conference.org/2021
- and do pass on the information if you know students or recent
graduates for whom it may be relevant.

I hope to see you at the conference!

Best,
Mikkel Willum Johansen
Publicity Chair
Diagrams 2021



Call for Graduate Symposium: Diagrams 2021

12th International Conference on the Theory and Application of Diagrams
September 28 – 30, 2021
Virtual Event
www.diagrams-conference.org/2021<http://www.diagrams-conference.org/2021>

 Highlights of Diagrams 2021 

- FREE REGISTRATION
- Graduate Symposium proceedings will be available online
- Inspirational ECR Speaker: Francesco Bellucci, University of Bologna
- Three Conference Tracks: Main, Philosophy, and Psychology and Education
- Conference proceedings published by Springer
- Best Paper and Best Student Paper awards

- Graduate Symposium submission deadline June 21, 2021.
- Conference paper submission dates in April 2021.


Diagrams is the only conference series that provides a united forum for
all areas that are concerned with the study of diagrams and has a
multidisciplinary emphasis.

The goal of the Diagrams 2021 Graduate Symposium is twofold. Firstly,
the Symposium will provide senior graduate students and recent Masters
and Doctoral graduates with the opportunity to present their research.
Established researchers will provide feedback and comments on each of
the presentations. Secondly, the Symposium will provide students with an
opportunity to network with each other as future colleagues.

In previous Diagrams Graduate Symposiums, lively and useful discussions
have enabled students to receive suggestions about their on-going
research and allowed more experienced participants to hear some fresh
ideas and view some of the new trends in the field.

The Graduate Symposium will include an Inspirational Early Career
Researcher Invited Talk 
(http://www.diagrams-conference.org/2021/index.php/keynotes/). 
The invitation to deliver this talk is reserved for an active Diagrams
researcher, within approximately ten years of their PhD, who has
demonstrable potential to be a major leadership force within the
community. The Inspirational ECR talk will be open to the entire
Diagrams delegation.


Submission Requirements

Submissions that focus on any aspect of diagrams research are welcome.
Topics of interest are the same as those given in the calls for papers
for the three conference tracks:
http://www.diagrams-conference.org/2021/index.php/calls/main-track/
http://www.diagrams-conference.org/2021/index.php/calls/philosophy/
http://www.diagrams-conference.org/2021/index.php/calls/psychology-of-diagrams/.

Students who wish to present their work at the symposium must submit a
3-page report describing

– their thesis topic,
– the approach being taken,
– the work that has been completed,
– the expected contributions of the research
– any necessary acknowledgements (for example, supervision team and
source funding).

The student should be the sole author of their submission and the
supervisor names should be included in the acknowledgements section.

The report must be submitted in Springer LNCS format.

Authors of accepted submissions will be expected to be in attendance at
the virtual conference to present their research and respond to
questions presented by delegates. All presenters must accept that it is
not within the power of the organisers to prevent delegates from
recording  talks. However, when registering, delegates will be asked to
confirm that they will not record any part of the conference.
More details can be found at
http://www.diagrams-conference.org/2021/index.php/calls/graduate-symposium/.


Supervisor Support

Students who submit to the graduate symposium must ask their main or
lead supervisor to submit a short supporting statement, by email to
Mohanad Alqadah, msqadah ‘@’ uqu.edu.sa.

The supporting statement should confirm that the supervisor supports the
student’s participation in the symposium and briefly explain why the
student will benefit.

It is the student’s responsibility to ensure that their supervisor
submits the supporting statement.


________________________________
Mikkel Willum Johansen
Associate professor
Department of Science Education
University of Copenhagen
Tlf: (+45) 28 72 84 41

--[2]------------------------------------------------------------------------
        Date: 2021-05-06 08:44:10+00:00
        From: Ken Friedman <ken.friedman.sheji@icloud.com>
        Subject: Research Writing Workshop 2021

Dear Colleagues,

To prepare for a lecture next week at Tongji University, I have prepared an
update of the Research Writing Workshop slide deck. If you’d like a copy, you
will find it in .pdf format at this URL:

https://www.academia.edu/2953871/Friedman_2021_Research_Writing_Workshop

As with all previous editions, this document is released under the Creative
Commons license. You are free to use it in teaching, to reprint, and circulate
it as you wish.

When I use it as the basis of a seminar, it requires about three hours.
Sometimes, it may require a little more time when students have many questions.
With the new Zoom technology, I can deliver the seminar remote.

For those who want to go deeper, Prof. Helen Sword has one of the world’s best
web sites. Along with a host of free resources and useful information, there is
a members-only web site called WriteSPACE.

https://www.helensword.com

Prof. Sword’s (2012, 2016, 2017) three books are among the best available on
good writing for academic and scholarly purposes. Her web site is quite useful,
and the members-only site provides valuable resources for those who work with
doctoral students. The bookstore also provides valuable suggestions for library
acquisition — and for your own bookshelf.

While Helen Sword’s work is the best, the Research Writing Workshop remains
useful — and it is free.

https://www.academia.edu/2953871/Friedman_2021_Research_Writing_Workshop

A special tip of the hat to Humanist, where I harvested a very good quote from
Robert Amsler.

Yours,

Ken Friedman

--

References

Sword Helen. 2012. Stylish Academic Writing. Cambridge Massachusetts: Harvard
University Press.

Sword Helen. 2016. The Writer’s Diet. A Guide to Fit Prose. Chicago: University
of Chicago Press.

Sword Helen. 2017. Air & Light & Time & Space. How Successful Academics Write.
Cambridge Massachusetts: Harvard University Press.

--

Ken Friedman, Ph.D., D.Sc. (hc), FDRS | Editor-in-Chief | 设计 She Ji. The Journal
of Design, Economics, and Innovation | Published by Tongji University in
Cooperation with Elsevier | URL: http://www.journals.elsevier.com/she-ji-the-
journal-of-design-economics-and-innovation/

Chair Professor of Design Innovation Studies | College of Design and Innovation
| Tongji University | Shanghai, China ||| Visiting Professor | Faculty of
Engineering | Lund University ||| Email  ken.friedman.sheji@icloud.com |
Academia https://tongji.academia.edu/KenFriedman | D&I http://tjdi.tongji.edu.cn



_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 7, 2021, 9:39 a.m. Humanist 35.2","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 7, 2021, 9:39 a.m. Humanist 35.2 - low-level nittygritty 



				
              Humanist Discussion Group, Vol. 35, No. 2.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-06 14:29:43+00:00
        From: Alasdair Ekpenyong <kekpenyo@syr.edu>
        Subject: Re: [Humanist] 34.366: low-level nittygritty?

Matthew Kirschenbaum’s essay “Extreme Inscription (Toward a Grammatology of the
Hard Drive)"" may be of interest.

https://observatory.constantvzw.org/books/vol13_2_06.pdf

Envoyé de mon iPhone

Le 4 mai 2021 à 23:53, Humanist <humanist@dhhumanist.org> a écrit :

﻿                  Humanist Discussion Group, Vol. 34, No. 366.
       Department of Digital Humanities, University of Cologne
                          Hosted by DH-Cologne
                      www.dhhumanist.org
               Submit to: humanist@dhhumanist.org




       Date: 2021-05-04 07:01:08+00:00
       From: Willard McCarty <willard.mccarty@mccarty.org.uk>
       Subject: microelectronics of the chip & innards of the OS

I'm looking for explanatory literature on two closely related subjects:
the microelectronic design of processors and the structure of operating
systems, in both areas written for the technologically undereducated
(like me). For the former, I am looking for design at the level of the decisions
designers make -- but explained in terms scholars in the human sciences
would understand, perhaps with some effort. For the latter, I am especially
interested in implementation of abstraction levels and information
hiding.

Any help would be greatly appreciated.

Yours,
WM

--
Willard McCarty,
Professor emeritus, King's College London;
Editor, Interdisciplinary Science Reviews;  Humanist
www.mccarty.org.uk



_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 7, 2021, 9:42 a.m. Humanist 35.3","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 7, 2021, 9:42 a.m. Humanist 35.3 - RA/postdoc (NUI Galway)



				
              Humanist Discussion Group, Vol. 35, No. 3.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-06 11:13:52+00:00
        From: Tonra, Justin <justin.tonra@nuigalway.ie>
        Subject: Computational Literary Studies job opportunity at NUI Galway

NUI Galway is hiring a Research Assistant or Postdoctoral Researcher to work on
the new Horizon 2020-funded Computational Literary Studies Infrastructure
project (CLS INFRA).

The successful candidate will be tasked with planning, managing, and carrying
out dissemination and communication activities for the project, which is a
collaboration between 13 European partners.

The job is full-time for a period of 3 years and 7 months. The full job
description can be found here: https://www.universityvacancies.com/national-
university-ireland-galway/nuig-res-087-21-research-assistantpostdoctoral-
researcher-17834

About CLS INFRA: The Computational Literary Studies Infrastructure project (CLS
INFRA) concentrates on ways to develop literary studies in the digital age.
Specifically, we bring together institutional, national and regional efforts to
build shared and sustainable infrastructure - high-quality data, tools and
knowledge. The project benefits researchers by bridging gaps between greater-
and lesser-resourced communities in computational literary studies and beyond.
We have received funding from the European Union's Horizon 2020 research and
innovation programme under grant agreement No 101004984. Further details:
https://cordis.europa.eu/project/id/101004984

--
Dr Justin Tonra
Lecturer in English
School of English & Creative Arts
National University of Ireland Galway


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 8, 2021, 6:53 a.m. Humanist 35.4","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 8, 2021, 6:53 a.m. Humanist 35.4 - asking an AI real-life questions



				
              Humanist Discussion Group, Vol. 35, No. 4.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-07 14:41:12+00:00
        From: Bill Benzon <wlbenzon@gmail.com>
        Subject: NEW SAVANNA: Analyze This! Screaming on the flat part of the roller coaster ride [Does GPT-3 get the joke?]

Fellow humanists,

I got a chance to ask GPT-3 some questions. So I quizzed it about a Jerry
Seinfeld joke. It’s response was very interesting.

Bill Benzon

https://new-savanna.blogspot.com/2021/05/analyze-this-screaming-on-flat-part-
of.html

Bill Benzon
wlbenzon@gmail.com


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 8, 2021, 6:56 a.m. Humanist 35.5","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 8, 2021, 6:56 a.m. Humanist 35.5 - postdocs (Amsterdam and Uppsala)



				
              Humanist Discussion Group, Vol. 35, No. 5.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org


    [1]    From: Peter Boot <peter.boot@huygens.knaw.nl>
           Subject: Postdoc Computational Literary Studies in Amsterdam (3 years) (18)

    [2]    From: Eric Cullhed <eric.cullhed@LINGFIL.UU.SE>
           Subject: Postdoctoral positions in digital philology, Uppsala University (28)


--[1]------------------------------------------------------------------------
        Date: 2021-05-07 13:45:41+00:00
        From: Peter Boot <peter.boot@huygens.knaw.nl>
        Subject: Postdoc Computational Literary Studies in Amsterdam (3 years)

We're looking for a postdoc computational literary studies. The postdoc position
is part of the project 'ImpFic: The Impact of Fiction'. Within this project we
investigate the impact fiction can have on readers. We use a large corpus of
electronically available Dutch-language (original and translated) novels and a
large collection of online book reviews. The aim of the project is to translate
concepts of literary theory about how literature works into a computational form
suitable for computational analysis of books and book reviews.

The position is for 3 years at Huygens ING (Amsterdam) and is a collaboration
with the Netherlands eScience Center. More details at:

https://www.academictransfer.com/300391/ (NL)
https://www.academictransfer.com/300413/ (EN)

Please contact us if you want to know more!

Best wishes,
Peter Boot

--[2]------------------------------------------------------------------------
        Date: 2021-05-07 10:47:36+00:00
        From: Eric Cullhed <eric.cullhed@LINGFIL.UU.SE>
        Subject: Postdoctoral positions in digital philology, Uppsala University

Dear list members,

The department of Linguistics and Philology at Uppsala University is
advertising up to 3 postdoctoral positions for researchers working at
the interface between various philological disciplines (including
Ancient Greek, Latin and Byzantine Studies) and the digital humanities.
The deadline for applications is May 31.

https://uu.varbi.com/en/what:job/jobID:400800

Best wishes,
Eric Cullhed



Eric Cullhed
Associate professor of Greek
Uppsala University

Pro Futura Scientia XIII Fellow
Swedish Collegium for Advanced Study
Department of Linguistics and Philology
Uppsala University
Box 635, SE 751 26 Uppsala
Visit: Thunbergsvägen 3h, room 9-3060
Phone: +46 (0) 723 04 28 50
https://swedishcollegium.academia.edu/EricCullhed



_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 8, 2021, 6:57 a.m. Humanist 35.6","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 8, 2021, 6:57 a.m. Humanist 35.6 - pubs: The Digital Dissertation



				
              Humanist Discussion Group, Vol. 35, No. 6.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-07 12:24:06+00:00
        From: Willard McCarty <willard.mccarty@mccarty.org.uk>
        Subject: the digital dissertation

Virginia Kuhn and Anke Finger, eds. Shaping the Digital Dissertation:
Knowledge Production in the Arts and Humanities (Open Book Publishers, 2021)
https://www.openbookpublishers.com/10.11647/OBP.0239.pdf

Introduction: Shedding Light on the Process of Digital 1 Knowledge
Production
Anke Finger and Virginia Kuhn

SECTION I: ISSUES IN DIGITAL SCHOLARSHIP AND 17 DOCTORAL EDUCATION

1. Dissertating in Public 19
Kathleen Fitzpatrick

2. Publication Models and Open Access 25
Cheryl E. Ball

3. The Digital Monograph? Key Issues in Evaluation 35
Virginia Kuhn

4. #DigiDiss: A Project Exploring Digital Dissertation Policies,
Practices and Archiving 49
Kathie Gossett and Liza Potts

5. The Gutenberg Galaxy will be Pixelated or How to Think of Digital
Scholarship as The Present: An Advisor’s Perspective 65
Anke Finger

6. Findable, Impactful, Citable, Usable, Sustainable (FICUS): A
Heuristic for Digital Publishing 83
Nicky Agate, Cheryl E. Ball, Allison Belan, Monica McCormick and
Joshua Neds-Fox

SECTION II: SHAPING THE DIGITAL DISSERTATION IN ACTION

7. Navigating Institutions and Fully Embracing the Interdisciplinary
Humanities: American Studies and the Digital Dissertation 107
Katherine Walden and Thomas Oates

8. MADSpace: A Janus-Faced Digital Companion to a PhD Dissertation in
Chinese History 119
Cécile Armand

9. Publish Less, Communicate More! Reflecting the Potentials and
Challenges of a Hybrid Self-Publishing Project 129
Sarah-Mai Dang

10. #SocialDiss: Transforming the Dissertation into Networked Knowledge
Production 151
Erin Rose Glass

11. Highly Available Dissertations: Open Sourcing Humanities Scholarship
165
Lisa Tagliaferri

12. The Digital Thesis as a Website: SoftPhD.com, from Graphic Design to
Online Tools 187
Anthony Masure

13. Writing a Dissertation with Images, Sounds and Movements: Cinematic
Bricolage 205
Lena Redman

14. Precarity and Promise: Negotiating Research Ethics and Copyright in
a History Dissertation 237
Celeste Tường Vy Sharpe

15. Lessons from the Sandbox: Linking Readership, Representation and
Reflection in Tactile Paths 247
Christopher Williams




--
Willard McCarty,
Professor emeritus, King's College London;
Editor, Interdisciplinary Science Reviews;  Humanist
www.mccarty.org.uk


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 9, 2021, 9:18 a.m. Humanist 35.7","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 9, 2021, 9:18 a.m. Humanist 35.7 - low-level nittygritty 



				
              Humanist Discussion Group, Vol. 35, No. 7.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-08 08:12:17+00:00
        From: David Zeitlyn <david.zeitlyn@anthro.ox.ac.uk>
        Subject: a relevant book

Dear all

Tom Boellstorff gave an Oxdeg seminar about the following book which
should be relevant

Tom Boellstorff & Braxton Soderman, Intelligent Visions: The Intellivision 
System, Video Games, and Society

The talk (not recorded) was about suitably nittygritty issues of early
programming problems...

david

--
David Zeitlyn,
Professor of Social Anthropology (research). ORCID: 0000-0001-5853-7351
Institute of Social and Cultural Anthropology, School of Anthropology
and Museum Ethnography
University of Oxford, 51 Banbury Road, Oxford, OX2 6PF, UK.
http://www.isca.ox.ac.uk/people/professor-david-zeitlyn
http://www.mambila.info/ The Virtual Institute of Mambila Studies
http://users.ox.ac.uk/~wolf2728/

2020 Monograph:
Mambila Divination: Framing Questions, Constructing Answers (Routledge
Studies in Anthropology)
London: Routledge.  ISBN 9780367199500

Vestiges: Traces of Record 
http://www.vestiges-journal.info/ Open Access
Journal


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 9, 2021, 9:24 a.m. Humanist 35.8","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 9, 2021, 9:24 a.m. Humanist 35.8 - invitation to comment: discussion paper on capacity enhancement



				
              Humanist Discussion Group, Vol. 35, No. 8.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-08 08:09:02+00:00
        From: Tupman, Charlotte <C.Tupman2@EXETER.AC.UK>
        Subject: Invitation to comment on UK-Ireland DH Network's first discussion paper pre-print

Dear All,

The UK-Ireland Digital Humanities Network has released the draft of its
first discussion paper on capacity enhancement in DH. The paper is based
on the Network's December 2020 workshop
(https://kdl.kcl.ac.uk/events/uk-ei-digital-humanities-capacity-enhancement/)
and a survey conducted among the members of the DH community. The draft
is available for comments until the end of Sunday 16th May at
https://osf.io/9e4az

We would love to hear your views; many thanks!

Please note that in order to annotate the document, you will need a
(free) account for *hypothes.is*: you should be prompted to do this when
you click on the sticky note at the top right of the document.

For more information about the UK-Ireland DH Network and its events,
please visit the Network's website <https://dhnetwork.org/> and follow
us on Twitter <https://twitter.com/DHNetworkOrg>.


Best wishes,

Charlotte

--
Dr Charlotte Tupman
Research Fellow in Digital Humanities
Director of Global, Department of Classics and Ancient History
College of Humanities
University of Exeter
EX4 4QH
(https://humanities.exeter.ac.uk/staff/tupman/)



_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 11, 2021, 7:45 a.m. Humanist 35.9","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 11, 2021, 7:45 a.m. Humanist 35.9 - online survey: MA programmes



				
              Humanist Discussion Group, Vol. 35, No. 9.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-10 09:45:33+00:00
        From: Öyvind Eide <oeide@uni-koeln.de>
        Subject: Online Survey on MA programmes

Dear all,

This invitation is sent on behalf of the Digital Heritage Research Lab at the
Cyprus University of Technology (CUT):

Within the framework of the UNESCO Chair on Digital Cultural Heritage at the
CUT, as well as the current work in different EU funded projects in the area of
Digital Cultural Heritage, the Digital Heritage Research Lab at CUT are working
to investigate the impact and added value on the career of all the graduated
students (alumni) from Master Courses in the domain of Digital Heritage, Digital
Humanities, Digital Social Sciences.

Therefore, they would like to hear from all alumni about their experiences,
their knowledge, opportunities, and values gained from their studies in the
different Master Courses. They would highly appreciate if you could find max. 15
minutes of your valuable time to give us your feedback, latest by 4th June 2021.
Link to the survey:

http://bit.ly/MasterCourseSurvey

The results will be published and being available for everybody by the end of
this year.

For questions, please contact Marinos Ioannides <marinos.ioannides@cut.ac.cy>

All the best,

Øyvind Eide


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
"May 12, 2021, 6:14 a.m. Humanist 35.10","


Humanist Discussion Group - Volume 35









Home


About


Subscribe


Search


Member Area


Legal notice







Humanist Archives: May 12, 2021, 6:14 a.m. Humanist 35.10 - events: strategies for exploring corpora



				
              Humanist Discussion Group, Vol. 35, No. 10.
        Department of Digital Humanities, University of Cologne
                      Hosted by DH-Cologne
                       www.dhhumanist.org
                Submit to: humanist@dhhumanist.org




        Date: 2021-05-12 05:03:14+00:00
        From: Ece Turnator <turnator@mit.edu>
        Subject: Thursday@4:30 PM ET | What (Might Be) in a Corpus?: Pedagogical Approaches to “Literature in the Digital Age” SHASS Digital Teaching and Research Collaborative Sessions

SHASS Digital Teaching and Research Collaborative Sessions
Thursday, May 13, @ 4:30 PM

Attend via Zoom
(https://mit.zoom.us/meeting/register/tJIud-ivrjsqGNxaTcFFf65zKicsyDVnMUlm)

Topic for 5/13. What (Might Be) in a Corpus?: Pedagogical Approaches to
“Literature in the Digital Age” (Wyn Kelley and Erica Zimmer)

How might corpus-based strategies help scholars and students probe
interstitial connections among texts? Literary criticism frequently
takes up the question of how one might relate text to source(s). Yet the
complications of such relationships argue the importance of developing
multiple approaches. Working with digital tools like Voyant
(https://voyant-tools.org/) and AntConc
(https://www.laurenceanthony.net/software/antconc/) can help bridge gaps
between qualitative and quantitative frames of insight, with an eye to
how moving between the two may itself create perspective.Building on
recent work undertaken with students of Wyn Kelley’s “Textual Mischief:
Literature in the Digital Age,” Kelley and DH Lab Research Associate
Erica Zimmer will present informally on work in progress, while
considering how participants might undertake similar, related
experiments in classes of their own.

Dr. Wyn Kelleyhas been a member of theLiterature
(https://lit.mit.edu/)Faculty since 1985 and has taught classes on
literature of the Americas (in São Paulo, Brazil), digital texts,
environmental writing, literature of migration, North American writers,
and literary modes (comedy, melodrama, gothic), Her scholarship focuses
on Herman Melville’s works in transatlantic contexts and on the
intersections of traditional and new media. Currently Associate Director
of the/Melville Electronic Library (MEL)
(https://melville.electroniclibrary.org/)/, an interactive archive of
Melville’s texts, sources, and adaptations, she is also founding member
of theMelville Society Cultural Project
(https://www.melvillesociety.org/melville-society-cultural-project),
which collaborates with the New Bedford Whaling Museum on projects
related to Melville, whaling, and climate change.

Dr. Erica Zimmercame to MIT in 2017; she is a Lecturer in the
Concourse Program and a Research Associate in MIT’s Programs in Digital
Humanities (https://digitalhumanities.mit.edu/). Her research interests
are literary,historical, and editorial, with emphases in poetics,
material culture, and varied forms of adaptation. This summer, she will
serve as pedagogical technical lead for the Melville Society Cultural
Project’s NEH summer institute,//“/Moby-Dickand the World of Whaling in
the Digital Age (https://teachingmelville.org/)/,” and she is delighted
to contribute to several Literature research initiatives, including
“Global Shakespeares: The Merchant Module
(https://lit.mit.edu/portfolio/shakespeare-modules/).” Her current
digital projects invite multiple points of engagement with bookshops
surrounding London’s St. Paul’s Cathedral before the 1666 Great Fire.

We look forward to welcoming you all!

Very best,
DH Lab x Libs Team


_______________________________________________
Unsubscribe at: http://dhhumanist.org/Restricted
List posts to: humanist@dhhumanist.org
List info and archives at at: http://dhhumanist.org
Listmember interface at: http://dhhumanist.org/Restricted/
Subscribe at: http://dhhumanist.org/membership_form.php

			


Editor:
	Willard McCarty (King’s College London, U.K.).
	
	Originally designed and developed by
	King's Digital Lab.
	
Currently
		developed and maintained by: DH-Cologne.



"
