URL,Dialogue
http://www.aellea.com/emruf3/tip.html,"sequence a fade in night med. shot door of a house a cheap residential district. the house has no architectural character; it is not certain where we are. near the entrance door is a garbage can, full. a dog is nibbling at some of the garbage. we hear whistling, footsteps. a garbage man comes into the picture. he shoos the dog away. without pause in whistling, he lifts the garbage"
http://www.aellea.com/emruf3/tm.html,"1 credit titles reach the screen--superimposed on a background of steaming funnels belching steam--accompanied by a musical score of ex- citing tempo. dissolve to: 2 long shot--night large ocean liner, plowing through darkened waters, its decks an"
http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html,"i walked with a zombie original screen play by curt siodmak and ardel wray based on scientific information from articles by inez wallace the rko trademark fades out, to reveal a road lined with palm trees, spectrally long and straight like a vista in a dali painting. along this road and from a far distance two tiny figures advance towar"
http://www.dailyscript.com/scripts/theleopardman.htm,the leopard man
http://www.dailyscript.com/scripts/SeventhVictim.htm,the seventh victim screen play by charles o'neal and dewitt bodeen the rko title and credits are superimposed over a tall stained glass window as shown from the inside of a building. there are two maidenly figures worked into t
http://www.dailyscript.com/scripts/cursecat.htm,"""the curse of the cat people"" screen play by dewitt bodeen the main and credit titles are superimposed on a series of line drawings of elves, small forest creatures, tree limbs, and other grotesqueries drawn in the delicate, fanciful, a"
http://www.dailyscript.com/scripts/TheBodySnatcher.htm,rko radio pictures presents the body snatcher boris karloff as john gray henry daniell as dr. mcfarland bela lugosi as joseph russell wade as dr. donald fettes edith atwater as meg camden rita corday as mrs
http://www.dailyscript.com/scripts/isleofthedead.htm,"""isle of the dead"" by ardel wray & josef mischel the main and credit titles are superimposed over a matte scene of the isle of the dead. when the last credit title dissolves, the painting is left clear for a moment and then there fade in the followin"
http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html,"sunset boulevard charles brackett billy wilder d.m. marshman, jr. march 21,1949 sequence ""a"" a-l-4 start the picture with the actual street sign: sunset boulevard, stencilled on a curbstope. in the gutter lie dead leaves, scraps of paper, burnt matches and cigarette butts. it is early morning."
http://www.dailyscript.com/scripts/onthewaterfront.html,"on the waterfront by budd schulberg fade in ext—establishing shot—waterfront—night shooting toward a small building (hoboken yacht club) set upon a wharf floating about twenty-five yards off shore. a long, narrow gangplank leads from the wharf to the shore, and on either side of the wharf are large ocean liners which are being unloaded by arc light. in the b.g. is the glitte"
http://www.aellea.com/emruf3/nbam.html,"a crew of african-americans are laying tracks in rural alabama. the crane operator is the only white man on the section gang. int. bunk car the dormitory of the section gang. the men are through for the day and lounging on their bunkbeds. duff anderson plays checkers with frankie, using bottle tops as pieces. duff makes the winning move and frankie, disgusted, turns over the board. he saunter"
http://www.dailyscript.com/scripts/klute.html,"int. dining room - tom grunemann house - day close shot of tom grunemann, attractive young executive, sitting at the head of the dining room table carving a turkey for thanksgiving day dinner. there are joyous sounds of celebration. the camera pans around the table revealing the happy family and guests. among them are klute and cable. camera stops at mrs. grunemann who sits at the foot"
http://www.dailyscript.com/scripts/getaway.html,the getaway by walter hill this screenplay is dedicated to raoul walsh based on the novel by jim thompson final revised shooting script february 23 1972
http://www.dailyscript.com/scripts/meanstreet.html,"""season of the witch"" written by: martin scorsese mardik martin ethan edwards ah, get born, keep warm short pants, romance, learn to dance get dressed, get blessed try to be a success please her, please him, buy gifts do"
http://www.dailyscript.com/scripts/godfather2.html,"the godfather part two screenplay by mario puzo and francis ford coppola second draft september 24, 1973 fade in: the paramount pictures logo is presented over a simple black background, as a single trumpet plays the familiar theme of a waltz. white lettering fades in: mario puzo's the go"
http://www.dailyscript.com/scripts/startrek01.html,"star trek: the motion picture screenplay by: gene roddenberry & harold livingstone story by: alan dean foster & gene roddenberry shooting script july 19, 1978"
http://www.dailyscript.com/scripts/ploughmans_lunch.html,"the ploughman's lunch an original screenplay by ian mcewan post production draft, 1985 fade in: int. bbc radio newsroom - late morning we are in close as a story a"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_III.htm,"star trek iii the search for spock written by: harve bennett rev. final draft october 7, 1983"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_IV.htm,star trek iv the voyage home screenplay by harve bennett & nicholas meyer story by steve meerson & peter krikes rev.
